frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
1;0.000000;10.10.10.10;10.10.10.20;TCP;74;22 → 36810 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM=1 TSval=331701896 TSecr=1556382910 WS=128
2;0.000098;10.10.10.20;10.10.10.10;TCP;66;36810 → 22 [ACK] Seq=1 Ack=1 Win=251 Len=0 TSval=1556382932 TSecr=331701896
3;0.000507;10.10.10.20;10.10.10.10;SSH;108;Client: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.3)
4;0.021028;10.10.10.10;10.10.10.20;TCP;66;22 → 36810 [ACK] Seq=1 Ack=43 Win=31872 Len=0 TSval=331701917 TSecr=1556382932
5;0.023909;10.10.10.10;10.10.10.20;SSHv2;108;Server: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.3)
6;0.023977;10.10.10.20;10.10.10.10;TCP;66;36810 → 22 [ACK] Seq=43 Ack=43 Win=251 Len=0 TSval=1556382956 TSecr=331701920
7;0.024817;10.10.10.20;10.10.10.10;SSHv2;1602;Client: Key Exchange Init
8;0.050069;10.10.10.10;10.10.10.20;SSHv2;1186;Server: Key Exchange Init
9;0.050069;10.10.10.10;10.10.10.20;TCP;66;22 → 36810 [ACK] Seq=1163 Ack=1579 Win=31872 Len=0 TSval=331701942 TSecr=1556382956
10;0.091553;10.10.10.20;10.10.10.10;TCP;66;36810 → 22 [ACK] Seq=1579 Ack=1163 Win=249 Len=0 TSval=1556383023 TSecr=331701941
11;0.267469;10.10.10.20;10.10.10.10;SSHv2;1274;Client: Diffie-Hellman Key Exchange Init
12;0.335172;10.10.10.10;10.10.10.20;TCP;66;22 → 36810 [ACK] Seq=1163 Ack=2787 Win=31872 Len=0 TSval=331702229 TSecr=1556383199
